"index","arm","scenario","seed","completed","finish","failure","lookups","unmatched","redundant","requiredAvailable","groundedCompletion","missingRequired","missingPortrayed","unused","portrayed","paragraphs","nameLeak","seconds","promptTokens","completionTokens","reasoningTokens","note"
"1","A","greeting","424243","false","length","missing_write","2","0","0","true","false","","","","","0","false","40.222818","3071","1254","1216","No submitted narration; not scored for portrayal or paragraph quality."
"2","B","greeting","424243","true","tool_calls","","2","0","0","true","true","","","","Bram;Odette","1","false","23.82983","3070","686","524","Player greeting paraphrased; only Bram speaks."
"3","B","odette","424243","true","tool_calls","","1","0","0","true","true","","","","Odette","1","false","20.4314853","3010","640","477","Requested appearance details and reply present."
"4","A","odette","424243","true","tool_calls","","1","0","0","true","true","","","","Odette","1","false","15.309000199999995","2882","460","279","Requested appearance details and reply present; invented knife/smoking method are elaborations."
"5","A","ferry","424243","true","tool_calls","","3","0","0","true","true","","","Odette","Rope Ferry;Bram","1","false","23.089986399999994","3201","723","517","Construction and two-person capacity present; Odette unused."
"6","B","ferry","424243","false","length","missing_write","2","0","0","true","false","","","","","0","false","56.8056318","3665","1800","1761","No submitted narration; not scored for portrayal or paragraph quality."
"7","B","environment","424243","false","stop","missing_write","2","0","0","true","false","","","","","0","false","38.899986999999996","3207","1180","970","No submitted narration; not scored for portrayal or paragraph quality."
"8","A","environment","424243","false","length","missing_write","3","0","0","true","false","","","","","0","false","42.20265859999999","3168","1277","1195","No submitted narration; not scored for portrayal or paragraph quality."
"9","A","cached-bram","424243","false","length","missing_write","0","0","0","true","false","","","","","0","false","33.49214400000003","1431","1024","1021","No submitted narration; not scored for portrayal or paragraph quality."
"10","B","cached-bram","424243","true","tool_calls","","0","0","0","true","true","","","","Bram","1","false","31.025265200000025","1468","951","828","Hours, sleeve and jewelry present; raft is background."
"11","B","mixed-cache","424243","true","tool_calls","","1","0","0","true","true","","","","Bram;Odette","1","false","33.076894299999985","3170","1047","833","Both respond; player's speech quoted."
"12","A","mixed-cache","424243","true","tool_calls","","1","0","0","true","true","","","","Bram;Odette","3","false","24.42668100000004","3144","711","456","Both respond; three paragraphs."
"13","B","greeting","424244","true","tool_calls","","2","0","0","true","true","","","","Bram;Odette","2","false","18.550638199999987","3154","565","341","Both respond; two paragraphs."
"14","A","greeting","424244","true","tool_calls","","2","0","0","true","true","","","","Bram;Odette","3","false","24.899559799999988","3063","775","519","Both respond; three paragraphs."
"15","A","odette","424244","true","tool_calls","","2","0","0","true","true","","","Bram","Odette","1","false","19.933340599999998","3123","624","431","Requested details present; ferryman only mentioned as direction of a glance."
"16","B","odette","424244","true","tool_calls","","1","0","0","true","true","","","","Odette","1","false","20.109061799999967","3153","616","457","Requested details and reply present."
"17","B","ferry","424244","true","tool_calls","","3","0","0","true","true","","","Odette","Rope Ferry;Bram","1","false","24.925428599999986","3287","781","568","Construction and capacity present; Odette unused."
"18","A","ferry","424244","false","length","missing_write","3","0","0","true","false","","","","","0","false","40.11497630000004","3096","1217","1163","No submitted narration; not scored for portrayal or paragraph quality."
"19","A","environment","424244","false","stop","missing_write","2","0","0","true","false","","","","","0","false","41.81922900000005","3158","1269","1058","No submitted narration; not scored for portrayal or paragraph quality."
"20","B","environment","424244","true","tool_calls","","2","0","0","true","true","","","Odette","Bram","1","false","23.90229079999996","3235","686","479","NPC initiates speech despite environment-only action; Odette unused; ambiguous 'single sleeve' wording."
"21","B","cached-bram","424244","true","tool_calls","","0","0","0","true","true","","","","Bram","1","false","9.360860900000088","1468","293","169","Hours, sleeve and jewelry present."
"22","A","cached-bram","424244","true","tool_calls","","0","0","0","true","true","","","","Bram","1","false","25.803258700000004","1431","820","701","Hours, sleeve and left-ear jewelry present."
"23","A","mixed-cache","424244","true","tool_calls","","1","0","0","true","true","","","","Bram;Odette","1","false","17.017983999999938","3098","529","353","Player speech quoted; only Bram speaks."
"24","B","mixed-cache","424244","false","length","missing_write","1","0","0","true","false","","","","","0","false","39.32745530000003","3250","1239","1072","No submitted narration; not scored for portrayal or paragraph quality."
"25","A","greeting","424245","false","length","missing_write","2","0","0","true","false","","","","","0","false","38.42620029999991","2983","1166","1128","No submitted narration; not scored for portrayal or paragraph quality."
"26","B","greeting","424245","true","tool_calls","","2","0","0","true","true","","","","Bram;Odette","1","false","33.619790800000075","3176","1013","767","Both respond; player speech quoted; Odette's plan to wait for failing light is an unsupported elaboration."
"27","B","odette","424245","true","tool_calls","","1","0","0","true","true","","","","Odette","1","false","25.55299139999994","2990","807","623","Requested appearance details, counting habit and reply present."
"28","A","odette","424245","true","tool_calls","","1","0","0","true","true","","","","Odette","2","false","21.316366200000047","2901","678","491","Requested appearance details and reply present; two paragraphs."
"29","A","ferry","424245","false","stop","missing_write","3","0","0","true","false","","","","","0","false","28.279143099999988","3321","930","727","No submitted narration; not scored for portrayal or paragraph quality."
"30","B","ferry","424245","true","tool_calls","","1","0","0","false","false","Rope Ferry","Rope Ferry","","Rope Ferry;Bram","1","false","40.53568849999993","3360","1221","1046","Did not retrieve Rope Ferry despite the full-entry policy; capacity and leftward list are already present in its summary, so correct capacity is not retrieval evidence."
"31","B","environment","424245","true","tool_calls","","2","0","0","true","true","","","","Bram;Odette","1","false","35.181646000000065","3358","1073","805","Both NPCs portrayed; ferryman speaks despite environment focus."
"32","A","environment","424245","false","stop","missing_write","2","0","0","true","false","","","","","0","false","43.82703150000004","3219","1331","1130","No submitted narration; not scored for portrayal or paragraph quality."
"33","A","cached-bram","424245","false","length","missing_write","0","0","0","true","false","","","","","0","false","33.367469500000006","1431","1024","1021","No submitted narration; not scored for portrayal or paragraph quality."
"34","B","cached-bram","424245","false","length","missing_write","0","0","0","true","false","","","","","0","false","33.224447999999974","1468","1024","1021","No submitted narration; not scored for portrayal or paragraph quality."
"35","B","mixed-cache","424245","false","length","missing_write","1","0","0","true","false","","","","","0","false","43.435479300000004","3397","1386","1363","No submitted narration; not scored for portrayal or paragraph quality."
"36","A","mixed-cache","424245","true","tool_calls","","0","0","0","false","false","Odette","Odette","","Bram;Odette","1","false","22.900726999999954","1434","675","494","Odette portrayed without full lookup; plural deep scars replace her authored single burn scar."
"37","B","greeting","424246","true","tool_calls","","2","0","0","true","true","","","","Bram;Odette","1","false","25.044687299999875","3193","779","517","Both respond; player speech quoted."
"38","A","greeting","424246","true","tool_calls","","2","0","0","true","true","","","","Bram;Odette","1","false","30.057456999999935","3065","942","726","Both respond; empty sleeve flaps despite authored pinned sleeve."
"39","A","odette","424246","true","tool_calls","","1","0","0","true","true","","","","Odette","2","false","16.2865615999999","2893","509","337","Appearance and refusal present; two paragraphs; NPC declines to explain preparation."
"40","B","odette","424246","true","tool_calls","","1","0","0","true","true","","","","Odette","1","false","14.659014200000092","2883","436","280","Appearance present; NPC declines to explain preparation."
"41","B","ferry","424246","true","tool_calls","","1","0","0","true","false","","Bram","","Rope Ferry;Bram","1","true","28.392205499999925","2986","901","737","Bram portrayed without his full lookup; unintroduced name Bram appears; ferry construction and capacity present."
"42","A","ferry","424246","true","tool_calls","","2","0","0","false","false","Rope Ferry","Rope Ferry","Odette","Rope Ferry;Bram","1","false","43.66843699999992","3495","1323","1166","Rope Ferry not retrieved; leftward list and capacity already in summary; Odette fetched but unused."
"43","A","environment","424246","false","length","missing_write","4","1","0","true","false","","","","","0","false","50.79091430000006","3472","1565","1495","No submitted narration; not scored for portrayal or paragraph quality."
"44","B","environment","424246","true","tool_calls","","2","0","0","true","true","","","Bram","Odette","1","false","38.08322220000019","3216","1152","956","NPC initiates speech despite environment-only action; Bram unused."
"45","B","cached-bram","424246","true","tool_calls","","0","0","0","true","true","","","","Bram","1","false","29.004056000000098","1468","895","737","Hours, sleeve and jewelry present."
"46","A","cached-bram","424246","true","tool_calls","","0","0","0","true","true","","","","Bram","1","false","13.447952000000049","1431","389","280","Hours, sleeve and left-ear jewelry present."
