"scenario","seed","baselineCompleted","candidateCompleted","finish","lookups","fullLoreCompletion","missingRequired","paragraphs","seconds","note"
"greeting","424243","True","True","stop","0","False","Bram;Odette","3","33.445","No lookup; summary explicitly deemed sufficient; three paragraphs; disregards player firepit detail."
"odette","424243","False","True","stop","0","False","Odette","1","25.843","No lookup; invents hair and scar details; multiple complete prose drafts."
"ferry","424243","True","True","stop","0","False","Rope Ferry","1","9.452","No lookup; summary explicitly deemed sufficient; extrapolates raft into two logs."
"environment","424243","True","True","stop","0","True","","1","30.062","Silent observation; same prose drafted and polished repeatedly in reasoning."
"cached-bram","424243","True","True","stop","0","True","","1","16.297","Uses cached sleeve and left-ear jewelry; prose drafted in reasoning."
"mixed-cache","424243","True","True","stop","1","True","","2","18.198","Retrieves Odette and reuses Bram cache; uses burn scar and green bead; two paragraphs."
"greeting","424244","True","False","length","0","False","Bram;Odette","0","31.303","Repeated planning and drafting exhaust cap without lookup or final prose."
"odette","424244","True","True","stop","1","True","","1","28.54","Retrieves Odette without prior tool history; uses authored right-cheek burn scar and hair bead."
"ferry","424244","True","True","stop","0","False","Rope Ferry","1","13.653","No lookup; explicitly extrapolates construction from summary."
"environment","424244","True","True","stop","0","True","","1","12.603","Silent observation; adds tactile detail without NPC interaction."
"cached-bram","424244","True","True","stop","0","True","","1","10.675","Uses cached sleeve and left-ear jewelry; concise preparation."
"mixed-cache","424244","True","True","stop","1","True","","2","21.191","Retrieves Odette and reuses Bram cache; two paragraphs; awkward grammar and figurative counting detail."
