"scenario","seed","defaultComplete","experimentalComplete","finish","lookups","paragraphs","reasoningTokens","seconds","fullLoreCompletion","note"
"greeting","424243","True","False","stop","0","0","603","27.155","False","Finished plain prose without write; portrayed Bram and Odette without full lore; substantial narration drafted in reasoning."
"odette","424243","True","True","tool_calls","0","1","454","20.447","False","Submitted invented scar and hair details without Odette lookup; substantial narration drafted in reasoning."
"ferry","424243","False","True","tool_calls","0","1","295","14.702","False","Submitted ferry construction and Bram dialogue without either full entry; used unintroduced Bram name."
"environment","424243","False","True","tool_calls","0","1","248","11.103","True","Submitted silent observation; no substantive entity portrayal requiring lookup."
"cached-bram","424243","True","True","tool_calls","0","1","225","10.924","True","Used cached sleeve and jewelry details; answered crossing hours."
"mixed-cache","424243","True","True","tool_calls","0","1","680","25.784","False","Used cached Bram but never retrieved Odette; repeated drafting and revision in reasoning."
"greeting","424244","True","True","tool_calls","0","1","455","20.316","False","Both NPCs respond without their full descriptions; scene outline in reasoning."
"odette","424244","True","True","tool_calls","0","1","470","20.624","False","Invented scar and hair details without lookup; substantial narration repeated from reasoning."
"ferry","424244","True","False","length","0","0","1021","31.735","False","Multiple prose revisions in reasoning reached the response cap; no lookup or write."
"environment","424244","True","False","stop","0","0","578","21.813","False","Finished silent plain prose with incidental NPC silhouettes; bypassed write."
"cached-bram","424244","True","True","tool_calls","0","1","263","13.183","True","Used cached sleeve and left-ear jewelry details; answered crossing hours."
"mixed-cache","424244","False","True","tool_calls","0","3","385","17.091","False","Never retrieved Odette; three paragraphs; ferryman role unclear; narration repeated from reasoning."
