"scenario","seed","baselineCompleted","candidateCompleted","finish","lookups","requiredAvailable","missingPortrayed","fullLoreCompletion","paragraphs","seconds","note"
"greeting","424243","True","True","stop","2","True","","True","1","24.216","Retrieved Bram and Odette; both portrayed; Odette remains silent."
"odette","424243","True","True","stop","1","True","","True","1","24.928","Retrieved Odette; uses right-cheek burn scar and hair bead."
"ferry","424243","True","True","stop","1","True","Bram","False","2","26.912","Retrieved ferry but added Bram speech and appearance without his entry; two paragraphs."
"environment","424243","True","True","stop","0","True","","True","1","15.666","Silent observation; no lookup or substantive entity portrayal."
"cached-bram","424243","True","True","stop","0","True","","True","1","16.856","Reused cached Bram; no redundant lookup."
"mixed-cache","424243","True","False","length","1","True","","False","0","36.838","Retrieved missing Odette then exhausted cap with repeated drafting."
"greeting","424244","False","True","stop","2","True","","True","1","19.347","Retrieved both NPCs; both respond."
"odette","424244","True","True","stop","1","True","","True","2","15.924","Retrieved Odette; correct appearance; refuses preparation question; two paragraphs."
"ferry","424244","True","True","stop","1","True","","True","1","18.336","Retrieved ferry; no additional NPC portrayal."
"environment","424244","True","True","stop","0","True","","True","1","21.784","Silent observation; no lookup; drafts prose in reasoning."
"cached-bram","424244","True","True","stop","0","True","","True","1","29.144","Reused cached Bram; multiple prose revisions before delivery."
"mixed-cache","424244","True","True","stop","1","True","","True","3","18.611","Retrieved Odette and reused Bram; three paragraphs; awkward gaze toward own hair bead."
