"case","scenario","seed","arm","mentioned_entities","available_entries","missing_entries","completed","mention_contract_met"
"1","greeting","424243","previous","Bram; Odette; Rope Ferry","Bram; Odette","Rope Ferry","true","false"
"1","greeting","424243","candidate","Bram; Odette; Rope Ferry","Bram; Odette","Rope Ferry","true","false"
"2","odette","424243","previous","Odette","Odette","","true","true"
"2","odette","424243","candidate","Odette","Odette","","true","true"
"3","ferry","424243","previous","Rope Ferry","Rope Ferry","","true","true"
"3","ferry","424243","candidate","Rope Ferry","","Rope Ferry","true","false"
"4","environment","424243","previous","","","","true","true"
"4","environment","424243","candidate","Bram; Odette; Rope Ferry","","Bram; Odette; Rope Ferry","true","false"
"5","cached-bram","424243","previous","Bram; Rope Ferry","Bram","Rope Ferry","true","false"
"5","cached-bram","424243","candidate","Bram","Bram","","true","true"
"6","mixed-cache","424243","previous","Bram; Odette; Rope Ferry","Bram; Odette","Rope Ferry","true","false"
"6","mixed-cache","424243","candidate","Bram; Odette","Bram; Odette","","true","true"
"7","greeting","424244","previous","Bram; Odette; Rope Ferry","Bram; Odette","Rope Ferry","true","false"
"7","greeting","424244","candidate","Bram; Odette; Rope Ferry","Bram; Odette","Rope Ferry","true","false"
"8","odette","424244","previous","Odette","Odette","","true","true"
"8","odette","424244","candidate","Odette","Odette","","true","true"
"9","ferry","424244","previous","Rope Ferry","Rope Ferry","","true","true"
"9","ferry","424244","candidate","Rope Ferry","Rope Ferry","","true","true"
"10","environment","424244","previous","Rope Ferry","","Rope Ferry","true","false"
"10","environment","424244","candidate","Bram; Odette; Rope Ferry","","Bram; Odette; Rope Ferry","true","false"
"11","cached-bram","424244","previous","Bram; Odette; Rope Ferry","Bram","Odette; Rope Ferry","true","false"
"11","cached-bram","424244","candidate","Bram; Rope Ferry","Bram","Rope Ferry","true","false"
"12","mixed-cache","424244","previous","Bram; Odette; Rope Ferry","Bram; Odette","Rope Ferry","true","false"
"12","mixed-cache","424244","candidate","Bram; Odette; Rope Ferry","Bram; Odette","Rope Ferry","true","false"
