"scenario","seed","baselineContractSuccess","baselineAnyFinishedNarration","plainCompleted","finish","lookups","fullLoreCompletion","paragraphs","seconds","note"
"greeting","424243","False","True","True","stop","0","False","2","18.435","Two paragraphs; both NPCs portrayed without lookup; only ferryman speaks."
"odette","424243","True","True","False","length","0","False","0","31.606","Repeated drafting exhausted the cap; considered lookup but treated summary as sufficient."
"ferry","424243","True","True","True","stop","0","False","1","11.974","Ferry construction invented from summary without lookup."
"environment","424243","True","True","True","stop","0","True","1","15.957","Silent observation; no substantive entity portrayal."
"cached-bram","424243","True","True","True","stop","0","True","2","10.69","Cached sleeve and left-ear jewelry used; two paragraphs."
"mixed-cache","424243","True","True","True","stop","0","False","1","14.022","Bram cache used; Odette portrayed without retrieval; scarred hand invented."
"greeting","424244","True","True","True","stop","0","False","1","19.943","Both NPCs portrayed without lookup; Odette waits for fading light despite ferryman refusing dark crossings."
"odette","424244","True","True","True","stop","0","False","1","13.855","Face and hair details supplied without full Odette entry."
"ferry","424244","False","False","True","stop","0","False","1","18.266","Ferry and ferryman portrayed without either full entry; reasoning explicitly judged ferry summary sufficient."
"environment","424244","False","True","True","stop","0","True","1","16.827","Silent observation; prose draft in reasoning repeated in final."
"cached-bram","424244","True","True","True","stop","0","True","1","15.288","Cached sleeve and ear jewelry used; prose drafted in reasoning."
"mixed-cache","424244","True","True","True","stop","1","True","1","19.712","Retrieved Odette while reusing cached Bram; uses authored hair bead."
